Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH,avg_velocity,peak_velocity
83,7/8/2019,21,4,2,0,"Retrieved bait from arm B,F,D,H",7/8/2019 10:30,7/8/2019 10:31,0:01:15,2019_07_08_N83_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2237)",2869.035116,0.089812332,0.070151921,0.192135836,0,0.203753351,0.08847185,0.237712243,0,0.117962466,0,0
85,7/8/2019,16,4,4,1,"Retrieved bait from arm C,A,F,D",7/8/2019 10:49,7/8/2019 10:51,0:01:15,2019_07_08_N85_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2241)",3333.5065,0.112399643,0.21587868,0.078947368,0.234165923,0.103479037,0,0.159232828,0,0.098126673,0,0
82,7/8/2019,20,4,4,1,"Retrieved bait from arm H,D,B,F",7/8/2019 10:21,7/8/2019 10:23,0:01:47,2019_07_08_N82_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3210)",4240.093825,0.101526004,0.043911554,0.117720336,0.131734662,0.282466521,0.052943008,0.071005917,0,0.199937714,0,0
84,7/8/2019,20,4,1,0,"Retrieved bait from arm D,B,H,F",7/8/2019 10:40,7/8/2019 10:41,0:00:53,2019_07_08_N84_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1576)",2075.007386,0.060240964,0,0.211794547,0,0.197209892,0.064045656,0.206721623,0,0.261255549,0,0
80,7/8/2019,20,4,2,4,"Retrieved bait from arm C,F,A,D",7/8/2019 10:04,7/8/2019 10:05,0:01:20,2019_07_08_N80_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2409)",4076.648522,0.098340249,0.193775934,0.040248963,0.304979253,0.12033195,0.063485477,0.182157676,0,0,0,0
79,7/8/2019,21,4,3,0,"Retrieved bait from arm A,C,D,F",7/8/2019 9:51,7/8/2019 9:52,0:01:08,2019_07_08_N79_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2039)",2782.70154,0.067156863,0.214215686,0.068627451,0.214705882,0.210784314,0.062254902,0.091666667,0,0.070588235,0,0
86,7/8/2019,16,4,8,1,"Retrieved bait from arm A,F,D,C",7/8/2019 10:57,7/8/2019 10:59,0:02:09,2019_07_08_N86_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3875)",5614.10222,0.082817337,0.260577915,0.078947368,0.04747162,0.140350877,0.106553148,0.123839009,0.07120743,0.089267286,0,0
81,7/8/2019,21,4,0,1,"Retrieved bait from arm B,F,D,H",7/8/2019 10:14,7/8/2019 10:15,0:01:08,2019_07_08_N81_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2026)",2104.679065,0.062160829,0,0.395658609,0,0.27725703,0,0.183522447,0,0.081401085,0,0
78,7/8/2019,20,4,13,5,"Retrieved bait from arm C,A,D",7/8/2019 9:37,7/8/2019 9:41,0:03:47,2019_07_08_N78_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 6820)",9810.665116,0.114059522,0.140302009,0.085911157,0.147778918,0.108341885,0.155988858,0.058056004,0.071543762,0.120950007,0,0
90,7/8/2019,20,4,8,4,"Retrieved bait from arm C,D,F,A",7/8/2019 11:15,7/8/2019 11:21,0:06:18,2019_07_08_N90_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 11335)",8683.809343,0.085038814,0.033786168,0.060515173,0.174135498,0.230328158,0.071894848,0.210744531,0.08883204,0.046047989,0,0
87,7/8/2019,15,4,13,7,"Retrieved bait from arm A,C,D,F",7/8/2019 11:04,7/8/2019 11:07,0:02:42,2019_07_08_N87_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 4869)",9304.91851,0.116837782,0.111909651,0.089938398,0.192607803,0.189117043,0.08973306,0.057289528,0.104517454,0.051129363,0,0
81,7/10/2019,22,4,10,7,"Retrieved bait from arm D, B, H, F",7/10/2019 10:33,7/10/2019 10:36,0:03:48,2019_07_10_N81_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 6850)",10083.57929,0.096920158,0.147861626,0.155305795,0.116917238,0.123485623,0.111224639,0.045394833,0.069624872,0.134870822,0,0
84,7/10/2019,19,4,5,1,"Retrieved bait from arm H, B, F, D",7/10/2019 11:38,7/10/2019 11:39,0:01:28,2019_07_10_N84_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2626)",4201.393677,0.132851161,0.075751808,0.185763228,0.064331938,0.161020175,0.10201751,0.12143129,0.060144652,0.098591549,0,0
82,7/10/2019,20,4,3,1,"Retrieved bait from arm D, B, F, H",7/10/2019 11:11,7/10/2019 11:13,0:01:31,2019_07_10_N82_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2727)",3849.637628,0.090542522,0,0.175953079,0.067082111,0.277859238,0.05058651,0.109237537,0.066715543,0.163489736,0,0
78,7/10/2019,20,4,2,0,"Retrieved bait from arm D, F, A, C",7/10/2019 11:57,7/10/2019 11:58,0:01:02,2019_07_10_N78_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1848)",2420.21168,0.062195782,0.18766901,0.115197404,0.167658194,0.186587345,0,0.158464035,0,0.124391563,0,0
90,7/10/2019,20,4,4,0,"Retrieved bait from arm D, C, A, F",7/10/2019 13:15,7/10/2019 13:17,0:01:33,2019_07_10_N90_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2777)",3783.994319,0.110511159,0.128509719,0.138228942,0.141108711,0.149028078,0.074514039,0.092152628,0.084593233,0.08387329,0,0
87,7/10/2019,16,4,9,2,"Retrieved bait from arm F, C, A, D",7/10/2019 13:05,7/10/2019 13:06,0:01:26,2019_07_10_N87_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2579)",5967.798254,0.122868217,0.145348837,0.081395349,0.163178295,0.11124031,0.103100775,0.157364341,0.039147287,0.07751938,0,0
80,7/10/2019,21,4,2,0,"Retrieved bait from arm F, C, D, A",7/10/2019 12:26,7/10/2019 12:27,0:00:56,2019_07_10_N80_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1689)",2346.369149,0.081065089,0.166863905,0.091715976,0.116568047,0.231360947,0.118934911,0.195266272,0,0,0,0
83,7/10/2019,21,4,3,1,"Retrieved bait from arm F, D, B, H",7/10/2019 11:25,7/10/2019 11:26,0:00:58,2019_07_10_N83_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1745)",3279.558496,0.085910653,0,0.261741123,0.072737686,0.216494845,0.061282932,0.014318442,0.112256586,0.177548683,0,0
85,7/10/2019,16,4,4,0,"Retrieved bait from arm D, F, C, A",7/10/2019 12:42,7/10/2019 12:44,0:01:18,2019_07_10_N85_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2350)",3682.902781,0.100808167,0.099106763,0.063802637,0.163334751,0.143343258,0.059123777,0.196086772,0.126329222,0.049340706,0,0
79,7/10/2019,19,4,13,3,"Retrieved bait from arm F, D, C, A",7/10/2019 12:11,7/10/2019 12:13,0:02:10,2019_07_10_N79_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3888)",8752.874847,0.097968629,0.078169195,0.114682438,0.135767549,0.121110825,0.083311905,0.129596297,0.103368475,0.137310363,0,0
86,7/10/2019,15,4,4,0,"Retrieved bait from arm F,C, A, D",7/10/2019 12:53,7/10/2019 12:54,0:00:49,2019_07_10_N86_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1467)",3209.620684,0.116485014,0.196866485,0.090599455,0.191416894,0.121934605,0.078337875,0.100817439,0,0.105585831,0,0
98,7/10/2019,20,4,5,0,"Retrieved bait from arm A, D, F, C",7/10/2019 13:24,7/10/2019 13:26,0:01:06,2019_07_10_N98_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1982)",3492.968004,0.090267272,0.151790217,0.14422592,0.118507312,0.099848714,0.128593041,0.18809884,0.079677257,0,0,0
98,7/11/2019,21,4,4,0,"Retrieved bait from arm D, C, A, F",7/11/2019 13:51,7/11/2019 13:52,0:01:14,2019_07_11_N98_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2212)",3369.743259,0.114324446,0.150474469,0.061455038,0.19249887,0.140533213,0.092634433,0.129688206,0.0804338,0.039765025,0,0
90,7/11/2019,20,4,2,0,"Retrieved bait from arm F, D, C, A",7/11/2019 13:42,7/11/2019 13:43,0:01:12,2019_07_11_N90_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2153)",2464.379299,0.04363974,0.185236769,0.079851439,0.250232126,0.209842154,0.101671309,0.131847725,0,0,0,0
